tanda,iata,aeropuerto,pais,rutas_en_hoja,ruta1,ruta2,ruta3,ruta4,ruta5
"1","LYS","Lyon-Saint-Exupéry","Francia","583","Lyon ciudad","Annecy","Courchevel 1300 3 Valleys","Val Thorens","Val-d'Isère"
"1","CMF","Chambéry-Savoie","Francia","369","Courchevel 1300 3 Valleys","Méribel","Val Thorens","Tignes Le Lac","Val-d'Isère"
"1","GNB","Grenoble-Alpes-Isère","Francia","369","Grenoble","L'Alpe d'Huez (Villard-Reculas)","Les Deux Alpes","Val Thorens","Serre Chevalier"
"1","SZG","Salzburgo","Austria","521","Salzburg","Kitzbuhel","Bad Gastein","Saalbach-Hinterglemm","Zell am See"
"1","INN","Innsbruck","Austria","495","Innsbruck","Ischgl","Sölden","St. Anton am Arlberg","Mayrhofen (Schwendau)"
"1","KLU","Klagenfurt","Austria","74","Villach","Bad Kleinkirchheim","Nassfeld","Bled","Rennweg am Katschberg"
"1","LUG","Lugano","Suiza","583","Lugano","Milan","Como","St Moritz","Zurich"
"1","BSL","Basilea-Mulhouse","Francia/Suiza","275","Basel City Centre","Zurich","Colmar","Strasbourg City Centre","Freiburg im Breisgau"
"1","TRN","Turín","Italia","278","Turín","Sestriere","Bardonecchia","Sauze d'Oulx","Courmayeur"
"1","FMM","Memmingen (Múnich Oeste)","Alemania","189","Munich","Innsbruck","Füssen","Oberstdorf","Lindau"
"1","TAT","Poprad-Tatry","Eslovaquia","8","Zakopane","Ružomberok","Bialka Tatrzańska","Liptovský Mikuláš","Banská Štiavnica"
"1","KTW","Katowice","Polonia","89","Katowice City Centre","Kraków","Zakopane","Czestochowa","Ostrava"
"1","KRK","Cracovia","Polonia","83","Kraków","Zakopane","Katowice City Centre","Bialka Tatrzańska","Czestochowa"
"1","WRO","Breslavia","Polonia","49","Karpacz","Kraków","Jelenia Gora","Swidnica","Zakopane"
"1","RVN","Rovaniemi (Laponia)","Finlandia","35","Rovaniemi City Centre","Santa Claus Village","Levi","Saariselka","Pyha"
"1","TRF","Sandefjord-Torp (Oslo)","Noruega","18","Oslo ciudad","Sandefjord","Tønsberg","Lillehammer","Hemsedal"
"2","PSA","Pisa","Italia","523","Pisa","Lucca","Siena","Forte dei Marmi","Cinque Terre"
"2","BLQ","Bolonia","Italia","306","Bologna","Modena","Rimini","Ravenna","Ferrara"
"2","TSF","Treviso (Venecia)","Italia","352","Venice Piazzale Roma","Treviso ciudad","Cortina d Ampezzo","Jesolo","Padova"
"2","TRS","Trieste","Italia","91","Trieste","Portorož","Piran","Ljubljana","Opatija"
"2","AOI","Ancona","Italia","44","Ancona (Sirolo)","Senigallia","Pesaro","Riccione","Rimini"
"2","PEG","Perugia","Italia","119","Perugia","Florence","Siena","Montepulciano","Assisi"
"2","PSR","Pescara","Italia","35","Pescara","Vasto","Roseto degli Abruzzi","Montesilvano","Termoli"
"2","TLS","Toulouse","Francia","316","Toulouse city","Carcassonne city","Andorra","Lourdes","Albi"
"2","BOD","Burdeos","Francia","315","Burdeos ciudad","Arcachon","Saint Emilion","Biarritz","Lacanau"
"2","MRS","Marsella","Francia","254","Marsella ciudad","Aix-en-Provence","Cassis","Avignon","Saint Tropez"
"2","MPL","Montpellier","Francia","241","Montpellier city","Nîmes","Sète","Cap d'Agde","La Grande-Motte"
"2","RNS","Rennes","Francia","227","Rennes","Saint-Malo","Mont Saint-Michel","Dinard","Dinan"
"2","NTE","Nantes","Francia","207","Nantes ciudad","La Baule-Escoublac","Saint-Nazaire","Pornic","Vannes"
"2","LIL","Lille","Francia","34","Lille","Brussels","Brugge","Disneyland Paris","Ostend"
"2","CCF","Carcasona","Francia","175","Carcassonne city","Toulouse city","Narbonne","Perpignan","Andorra"
