IATA,Aeropuerto,Pais,Rutas publicadas,Rutas con precio,Ticket medio,Ticket mediana,Min,Max
DUS,"Düsseldorf Airport","Germany",1,3,507.88,502.58,48.45,972.60
VRN,"Verona Villafranca Airport","Italy",3,209,317.31,337.16,49.00,880.60
LDE,"Tarbes-Lourdes-Pyrénées Airport","France",2,99,414.70,334.78,36.86,1724.53
GOA,"Genoa Cristoforo Colombo Airport","Italy",3,125,334.52,325.67,62.94,749.25
OMO,"Mostar International Airport","Bosnia and Herzegovina",11,11,359.58,312.84,33.04,1056.64
CIY,"Comiso Airport","Italy",3,196,306.90,301.19,38.66,835.01
TPS,"Trapani-Birgi Airport","Italy",3,105,306.22,299.70,37.46,869.88
AHO,"Alghero-Fertilia Airport","Italy",14,218,282.84,298.54,3.00,974.03
GVA,"Geneva Airport","Switzerland",2,51,380.24,287.21,64.51,1259.46
VCE,"Venice Marco Polo Airport","Italy",10,356,306.42,276.84,1.02,1130.00
BRI,"Bari Karol Wojtyła Airport","Italy",18,190,270.64,257.22,1.07,1894.88
FLR,"Florence Airport","Italy",1,74,272.34,220.49,62.94,1121.87
BIQ,"Biarritz Pays Basque Airport","France",3,97,281.11,220.39,42.64,1687.50
YYC,"Calgary International Airport","Canada",1,14,379.11,211.86,54.20,1276.54
EIN,"Eindhoven Airport","Netherlands",2,97,208.20,210.38,15.98,458.54
NCE,"Nice Côte d'Azur Airport","France",22,292,239.06,197.51,1.17,1297.84
BER,"Berlin Brandenburg Airport","Germany",1,43,227.11,195.01,50.63,488.51
DEN,"Denver International Airport","United States",1,104,265.17,191.48,63.52,2803.44
RJK,"Rijeka Airport","Croatia",3,100,211.08,190.44,62.44,739.26
MUC,"Munich Airport","Germany",1,215,231.92,186.63,40.96,1445.86
ATH,"Athens International Airport","Greece",5,198,200.61,179.06,1.23,661.27
SFO,"San Francisco International Airport","United States",1,104,214.23,176.06,30.03,799.20
OTP,"Bucharest Henri Coandă International Airport","Romania",8,81,175.37,175.82,26.75,412.09
OLB,"Olbia Costa Smeralda Airport","Italy",22,156,293.53,173.07,47.45,3530.08
QSR,"Salerno Costa d'Amalfi Airport","Italy",3,39,353.29,171.36,103.22,2388.27
BUD,"Budapest Ferenc Liszt International Airport","Hungary",3,146,175.90,168.81,26.93,603.62
LCY,"London City Airport","United Kingdom",2,3,146.57,167.83,56.31,215.56
DBV,"Dubrovnik Airport","Croatia",21,64,205.22,164.27,24.98,894.57
BDS,"Brindisi Airport","Italy",3,140,184.03,163.43,33.80,1896.67
DTW,"Detroit Metropolitan Airport","United States",1,77,239.83,160.23,31.10,1454.64
ZRH,"Zurich Airport","Switzerland",1,107,179.18,159.84,1.12,578.92
SLC,"Salt Lake City International Airport","United States",1,32,274.92,156.94,73.71,1444.86
LIN,"Milan Linate Airport","Italy",1,42,186.94,156.92,60.94,678.85
CAG,"Cagliari Elmas Airport","Italy",11,131,309.60,155.84,43.71,2933.60
PRG,"Václav Havel Airport Prague","Czech Republic",1,159,219.38,153.85,24.98,780.22
SUF,"Lamezia Terme International Airport","Italy",5,91,526.11,152.63,39.32,10329.32
VLC,"Valencia Airport","Spain",12,295,186.51,151.85,30.53,670.46
BVA,"Paris Beauvais-Tillé Airport","France",2,238,196.42,149.85,39.96,1079.05
NAP,"Naples International Airport","Italy",22,197,228.88,149.85,1.14,1688.67
PIT,"Pittsburgh International Airport","United States",2,27,220.53,145.28,93.66,1409.53
DUB,"Dublin Airport","Ireland",1,240,169.61,143.61,26.97,539.30
BCN,"Barcelona-El Prat Airport","Spain",58,389,172.02,142.31,32.97,787.62
CRL,"Brussels South Charleroi Airport","Belgium",5,143,158.25,139.86,40.64,313.10
BUF,"Buffalo Niagara International Airport","United States",3,59,222.02,139.84,53.28,1128.73
EWR,"Newark Liberty International Airport","United States",1,146,168.24,139.79,54.95,919.48
RDU,"Raleigh-Durham International Airport","United States",2,15,260.90,138.86,129.15,734.27
MCI,"Kansas City International Airport","United States",1,14,155.54,138.82,86.79,261.70
PMO,"Palermo Falcone-Borsellino Airport","Italy",1,10,172.28,138.69,50.38,413.52
MCO,"Orlando International Airport","United States",1,177,146.28,138.15,30.92,444.81
JFK,"John F. Kennedy International Airport","United States",1,154,168.83,137.59,1.06,734.98
BGY,"Milan Bergamo Airport","Italy",1,39,185.05,135.94,49.63,571.84
TFN,"Tenerife North Airport","Spain",18,18,130.47,135.68,56.19,166.74
LGW,"London Gatwick Airport","United Kingdom",2,11,170.28,134.83,85.91,555.08
CTA,"Catania-Fontanarossa Airport","Italy",1,52,177.29,131.30,28.97,1880.87
SVQ,"Seville Airport","Spain",9,95,140.97,131.12,31.84,678.50
ZAD,"Zadar Airport","Croatia",18,121,183.85,130.87,30.97,525.97
YUL,"Montréal-Pierre Elliott Trudeau International Airport","Canada",1,38,135.80,130.59,34.81,373.01
SPU,"Split Airport","Croatia",22,149,163.45,130.56,25.97,617.01
PHL,"Philadelphia International Airport","United States",1,64,168.73,130.30,50.93,814.49
