IATA,Aeropuerto,Pais,Destino,Precio desde,Impresiones GSC,Consultas que la piden
ORY,"Paris Orly Airport","France","beauvais",165.90,1178,"paris beauvais private transfer | taxi fare from paris to beauvais airport | beauvais airport transfer paris"
CDG,"Paris Charles de Gaulle Airport","France","beauvais",116.75,1178,"paris beauvais private transfer | taxi fare from paris to beauvais airport | beauvais airport transfer paris"
BVA,"Paris Beauvais-Tillé Airport","France","beauvais",39.96,1246,"paris beauvais private transfer | taxi fare from paris to beauvais airport | beauvais airport transfer paris"
OLB,"Olbia Costa Smeralda Airport","Italy","costa rei",511.38,74,"tulum to costa mujeres transfer"
BCN,"Barcelona-El Prat Airport","Spain","igualada",93.66,342,"transfer privado barcelona - igualada | transfer barcelona a igualada"
EWR,"Newark Liberty International Airport","United States","newark",61.81,325,"transfer del aeropuerto de newark a queens o brooklyn | transfers from newark airport to manhattan | newark airport pickup service"
FCO,"Rome Fiumicino Airport","Italy","fiumicino",52.95,274,"traslados roma aeropuerto fiumicino | transfer aeropuerto roma fiumicino | transfer aeropuerto fiumicino a roma"
SPU,"Split Airport","Croatia","mostar",212.29,65,"mostar to split transfer"
OMO,"Mostar International Airport","Bosnia and Herzegovina","sarajevo",179.10,76,"mostar to sarajevo transfer | transfer mostar sarajevo"
TFS,"Tenerife South Airport","Spain","tenerife norte (tfn)",96.15,141,"traslados aeropuerto tenerife norte a puerto de la cruz | taxi tenerife norte puerto de la cruz"
OMO,"Mostar International Airport","Bosnia and Herzegovina","dubrovnik",260.21,51,"mostar to dubrovnik transfer"
BCN,"Barcelona-El Prat Airport","Spain","palafrugell",198.25,60,"transfer aeroport barcelona palafrugell"
DBV,"Dubrovnik Airport","Croatia","mostar",216.30,51,"mostar to dubrovnik transfer"
LGW,"London Gatwick Airport","United Kingdom","london city center",96.90,108,"london to luton airport transportation options"
LTN,"London Luton Airport","United Kingdom","london city center",95.90,108,"london to luton airport transportation options"
STN,"London Stansted Airport","United Kingdom","london city center",89.17,108,"london to luton airport transportation options"
OMO,"Mostar International Airport","Bosnia and Herzegovina","mostar",33.04,283,"mostar to split transfer | mostar to dubrovnik transfer | mostar airport to medjugorje"
LHR,"London Heathrow Airport","United Kingdom","london city center",73.75,108,"london to luton airport transportation options"
LCY,"London City Airport","United Kingdom","london city center",56.31,108,"london to luton airport transportation options"
BGY,"Milan Bergamo Airport","Italy","milan",111.53,54,"airport transfers milan linate"
MXP,"Milan Malpensa Airport","Italy","milan",110.82,54,"airport transfers milan linate"
DUB,"Dublin Airport","Ireland","dublin d13",52.45,112,"transfers dublin | traslados dublin"
DUB,"Dublin Airport","Ireland","dublin d18",52.45,112,"transfers dublin | traslados dublin"
SEA,"Seattle-Tacoma International Airport","United States","tacoma",85.98,59,"seattle tacoma airport taxi"
SJJ,"Sarajevo International Airport","Bosnia and Herzegovina","sarajevo",20.89,236,"mostar to sarajevo transfer | transfer mostar sarajevo | sarajevo airport to city center"
LIN,"Milan Linate Airport","Italy","milan",68.68,54,"airport transfers milan linate"
FLL,"Fort Lauderdale-Hollywood International Airport","United States","lauderdale-by-the-sea",36.45,75,"aeropuerto fort lauderdale fll a port everglades vuelo"
SPU,"Split Airport","Croatia","split",36.25,65,"mostar to split transfer"
RKT,"Ras Al Khaimah International Airport","United Arab Emirates","ras al-khaimah",33.95,68,"ras al khaimah to jebel ali"
BCN,"Barcelona-El Prat Airport","Spain","el prat de llobregat",32.97,37,"reservar transfer al aeropuerto el prat de llobregat"
GRU,"São Paulo Guarulhos International Airport","Brazil","guarulhos",18.69,18,"transfer guarulhos campinas"
