Pais,IATA,Destino,DesdePrecioEUR,Vehiculos,routeKey
Croatia,DBV,Cavtat,25,5,DBV|cavtat
Croatia,DBV,Mlini,30,5,DBV|mlini
Croatia,DBV,Dubrovnik,34,5,DBV|dubrovnik
Croatia,DBV,Slano,75,5,DBV|slano
Croatia,DBV,Ston,112,5,DBV|ston
Croatia,DBV,Gradac,164,5,DBV|gradac
Croatia,DBV,Bar,175,5,DBV|bar
Croatia,DBV,Orebic,175,5,DBV|orebic
Croatia,DBV,Sveti Stefan,175,5,DBV|sveti stefan
Croatia,DBV,Becici (Przno),175,5,DBV|becici (przno)
Croatia,DBV,Drvenik,197,5,DBV|drvenik
Croatia,DBV,Makarska,219,5,DBV|makarska
Croatia,DBV,Marina Tucepi,219,5,DBV|marina tucepi
Croatia,DBV,Podgora,223,5,DBV|podgora
Croatia,DBV,Omis,261,5,DBV|omis
Croatia,DBV,Korcula,265,5,DBV|korcula
Croatia,DBV,Split,309,5,DBV|split
Croatia,DBV,Trogir,352,5,DBV|trogir
Croatia,DBV,"Murter, isla de Murter",372,5,"DBV|murter, isla de murter"
Croatia,DBV,Tisno,372,5,DBV|tisno
Croatia,DBV,Sibenik,386,5,DBV|sibenik
Croatia,PUY,Pula,32,5,PUY|pula
Croatia,PUY,Camping Val Saline Rovinj,77,5,PUY|camping val saline rovinj
Croatia,PUY,Rovinj,77,5,PUY|rovinj
Croatia,PUY,Zadar,462,5,PUY|zadar
Croatia,SPU,Trogir,26,5,SPU|trogir
Croatia,SPU,Primosten,55,5,SPU|primosten
Croatia,SPU,Omis,62,5,SPU|omis
Croatia,SPU,Cavtat,72,5,SPU|cavtat
Croatia,SPU,Sibenik,75,5,SPU|sibenik
Croatia,SPU,Vodice,83,5,SPU|vodice
Croatia,SPU,Drvenik Veliki,85,5,SPU|drvenik veliki
Croatia,SPU,Brela,92,5,SPU|brela
Croatia,SPU,Pirovac,100,5,SPU|pirovac
Croatia,SPU,Makarska,105,5,SPU|makarska
Croatia,SPU,Podgora,107,5,SPU|podgora
Croatia,SPU,Tisno,109,5,SPU|tisno
Croatia,SPU,Marina Tucepi,111,5,SPU|marina tucepi
Croatia,SPU,Betina Murter,111,5,SPU|betina murter
Croatia,SPU,"Murter, isla de Murter",114,5,"SPU|murter, isla de murter"
Croatia,SPU,Biograd,133,5,SPU|biograd
Croatia,SPU,Gradac,149,5,SPU|gradac
Croatia,SPU,Hvar,150,5,SPU|hvar
Croatia,SPU,Bol,155,5,SPU|bol
Croatia,SPU,Nin,170,5,SPU|nin
Croatia,SPU,Orebic,261,5,SPU|orebic
Croatia,SPU,Korcula,354,5,SPU|korcula
Croatia,ZAD,Novigrad Zadar,39,5,ZAD|novigrad zadar
Croatia,ZAD,Biograd,44,5,ZAD|biograd
Croatia,ZAD,Nin,53,5,ZAD|nin
Croatia,ZAD,Pirovac,92,5,ZAD|pirovac
Croatia,ZAD,Tisno,103,5,ZAD|tisno
Croatia,ZAD,Vodice,105,5,ZAD|vodice
Croatia,ZAD,"Murter, isla de Murter",110,5,"ZAD|murter, isla de murter"
Croatia,ZAD,Betina Murter,110,5,ZAD|betina murter
